player_id,season_label,goals,assists,shots_on_target,minutes_played,market_value,market_value_next_season,age_in_days
9,2017-2018,9,1,25,2152,1000000,1000000.0,13108
9,2018-2019,2,0,7,943,1000000,0.0,13473
9,2019-2020,1,0,3,208,0,,13838
12,2017-2018,0,0,2,232,1000000,,10904
13,2021-2022,1,0,1,151,0,,11901
67,2017-2018,5,10,15,2150,40000000,40000000.0,10606
67,2018-2019,21,6,41,2953,40000000,32000000.0,10971
67,2019-2020,21,8,54,3141,32000000,25000000.0,11336
67,2020-2021,23,9,50,2894,25000000,30000000.0,11701
67,2021-2022,27,12,47,2593,30000000,,12067
105,2017-2018,4,2,9,2061,800000,,11797
129,2017-2018,3,3,11,1041,60000000,25000000.0,10313
129,2018-2019,2,2,10,1112,25000000,14500000.0,10678
129,2019-2020,5,4,8,1350,14500000,6000000.0,11043
129,2020-2021,2,0,2,208,6000000,,11408
171,2017-2018,3,1,11,1330,3000000,7500000.0,9806
171,2018-2019,7,4,17,2582,7500000,2400000.0,10171
171,2019-2020,1,4,6,1865,2400000,1800000.0,10536
171,2020-2021,3,0,12,1404,1800000,,10901
208,2017-2018,10,1,30,2627,9000000,9000000.0,11132
208,2017-2018,0,2,1,1392,9000000,7500000.0,11132
208,2018-2019,0,0,0,381,7500000,7500000.0,11497
208,2018-2019,0,1,1,850,7500000,7500000.0,11497
208,2018-2019,9,3,32,2369,7500000,0.0,11497
208,2019-2020,0,0,0,243,0,0.0,11862
208,2019-2020,0,1,3,1012,0,0.0,11862
208,2019-2020,15,1,27,2869,0,2500000.0,11862
208,2020-2021,5,1,12,1743,2500000,2500000.0,12227
208,2020-2021,1,0,3,504,2500000,500000.0,12227
208,2021-2022,6,2,12,1802,500000,,12593
209,2017-2018,2,6,17,1641,1500000,1000000.0,12260
209,2018-2019,2,1,10,1486,1000000,,12625
217,2017-2018,7,6,24,2319,3500000,4000000.0,9913
217,2018-2019,0,2,3,580,4000000,4000000.0,10278
217,2018-2019,3,2,10,1449,4000000,3200000.0,10278
217,2019-2020,0,0,5,695,3200000,1200000.0,10643
217,2020-2021,0,1,0,424,1200000,,11008
225,2017-2018,19,9,39,2519,100000000,130000000.0,9418
225,2018-2019,15,8,45,3198,130000000,96000000.0,9783
225,2019-2020,9,4,23,2549,96000000,60000000.0,10148
225,2020-2021,13,7,30,2604,60000000,35000000.0,10513
225,2021-2022,3,4,13,1695,35000000,35000000.0,10879
225,2021-2022,0,0,0,263,35000000,,10879
251,2017-2018,4,7,15,2479,500000,2000000.0,12948
251,2018-2019,6,0,12,1696,2000000,1600000.0,13313
251,2019-2020,8,3,11,2060,1600000,1500000.0,13678
251,2020-2021,2,6,6,1291,1500000,1500000.0,14043
251,2021-2022,0,1,4,471,1500000,,14409
254,2019-2020,11,2,28,2782,6000000,8000000.0,10507
254,2020-2021,11,3,30,3026,8000000,5000000.0,10872
254,2021-2022,14,4,33,3122,5000000,,11238
260,2017-2018,8,2,15,1489,7500000,8000000.0,8627
260,2018-2019,5,2,19,1523,8000000,4000000.0,8992
260,2019-2020,1,0,3,264,4000000,2500000.0,9357
260,2020-2021,2,0,5,604,2500000,15000000.0,9722
260,2021-2022,16,4,30,2131,15000000,,10088
272,2017-2018,0,0,4,441,1500000,,9623
285,2017-2018,0,3,8,929,2000000,1800000.0,10996
285,2018-2019,1,0,2,425,1800000,1400000.0,11361
285,2019-2020,1,2,14,1896,1400000,1000000.0,11726
285,2020-2021,1,2,6,935,1000000,,12091
292,2017-2018,9,6,20,2345,4000000,1400000.0,10586
292,2019-2020,2,0,7,1443,1400000,1200000.0,11316
292,2020-2021,1,1,2,481,1200000,,11681
337,2017-2018,34,12,94,3000,180000000,150000000.0,10784
337,2018-2019,36,13,85,2713,150000000,112000000.0,11149
337,2019-2020,25,21,63,2880,112000000,80000000.0,11514
337,2020-2021,30,9,85,3023,80000000,,11879
345,2017-2018,0,0,0,58,1500000,,9984
348,2018-2019,6,1,14,1083,50000000,36000000.0,9201
348,2019-2020,12,2,27,2098,36000000,,9566
365,2020-2021,8,4,20,2198,1200000,1500000.0,12552
365,2021-2022,7,2,25,2157,1500000,,12918
370,2017-2018,4,5,18,1600,5000000,2000000.0,11036
370,2018-2019,0,0,2,76,2000000,1600000.0,11401
370,2019-2020,2,1,4,324,1600000,1600000.0,11766
370,2019-2020,3,0,12,898,1600000,1500000.0,11766
370,2020-2021,7,5,25,2597,1500000,1200000.0,12131
370,2021-2022,2,0,9,1384,1200000,,12497
405,2017-2018,2,3,6,1738,6000000,4000000.0,10138
405,2018-2019,1,0,6,743,4000000,2400000.0,10503
405,2019-2020,0,0,0,56,2400000,1000000.0,10868
405,2021-2022,0,0,2,312,1000000,,11599
414,2017-2018,2,3,6,2460,2000000,4000000.0,9699
414,2018-2019,1,4,4,1994,4000000,2800000.0,10064
414,2019-2020,0,2,1,376,2800000,1200000.0,10429
414,2020-2021,0,1,0,418,1200000,,10794
448,2017-2018,26,5,71,2285,100000000,,11653
