player_id,season_label,tackles_won,blocks,interceptions,aerials_won,pass_completed,minutes_played,market_value,market_value_next_season,age_in_days
15,2017-2018,42,34,68,15,2074,2744,60000000,50000000,10148
15,2018-2019,22,24,60,16,2279,2991,50000000,40000000,10513
15,2019-2020,13,12,37,6,1858,2187,40000000,20000000,10878
15,2020-2021,30,21,49,4,2479,3025,20000000,9000000,11243
15,2021-2022,34,26,33,13,2334,2644,9000000,,11609
19,2019-2020,23,29,42,74,1635,3237,3200000,2500000,12172
19,2020-2021,15,32,22,65,1829,3115,2500000,3000000,12537
19,2021-2022,15,24,21,41,1339,2465,3000000,,12903
21,2017-2018,24,28,30,28,544,2184,1500000,,11473
30,2021-2022,19,10,11,9,915,1098,1000000,,13755
33,2017-2018,23,14,38,29,1444,2045,5000000,3000000,9052
33,2018-2019,31,31,43,48,1064,2763,3000000,,9417
36,2017-2018,44,31,38,36,1003,2426,100000,5000000,9980
36,2018-2019,46,24,41,49,1386,3028,5000000,4000000,10345
36,2019-2020,31,23,33,50,990,2360,4000000,1500000,10710
36,2020-2021,8,7,13,17,510,901,1500000,1500000,11075
36,2021-2022,13,6,10,10,590,1083,1500000,,11441
53,2017-2018,2,2,2,5,81,184,700000,,11232
60,2017-2018,24,24,17,15,599,1549,4000000,2000000,10534
60,2018-2019,6,6,2,5,169,523,2000000,1600000,10899
60,2019-2020,10,4,2,10,183,563,1600000,1200000,11264
60,2020-2021,15,22,7,14,715,1689,1200000,1200000,11629
60,2021-2022,24,27,21,33,765,2027,1200000,,11995
65,2017-2018,28,19,32,51,939,1420,17500000,22000000,9483
65,2018-2019,55,46,60,74,1991,2928,22000000,17500000,9848
65,2019-2020,34,45,35,98,1426,2524,17500000,10000000,10213
65,2020-2021,16,19,40,58,776,1694,10000000,6000000,10578
65,2021-2022,14,39,33,59,926,1993,6000000,,10944
82,2021-2022,2,2,11,7,287,663,900000,,12323
173,2017-2018,22,27,66,102,960,2868,7000000,6000000,10036
173,2018-2019,14,46,40,130,1198,2727,6000000,4800000,10401
173,2019-2020,16,19,24,115,827,2259,4800000,,10766
189,2017-2018,9,9,14,10,642,885,3000000,,9910
202,2017-2018,12,22,24,43,939,2028,12000000,8000000,11041
202,2018-2019,17,30,16,70,896,2136,8000000,4800000,11406
202,2019-2020,8,19,14,29,766,1437,4800000,,11771
205,2017-2018,10,15,19,14,383,860,1000000,2400000,12729
205,2019-2020,16,20,48,161,892,2793,2400000,7500000,13459
205,2020-2021,17,36,59,159,988,3150,7500000,20000000,13824
205,2021-2022,14,27,52,134,1169,3105,20000000,,14190
211,2017-2018,66,58,58,57,1406,2806,18000000,10000000,9535
211,2018-2019,43,48,42,53,1059,2599,10000000,6000000,9900
211,2019-2020,20,25,26,41,831,1962,6000000,5000000,10265
211,2020-2021,34,26,30,34,921,1851,5000000,3000000,10630
211,2021-2022,4,6,6,8,295,623,3000000,,10996
214,2017-2018,33,33,59,54,1044,2554,35000000,20000000,11277
214,2018-2019,30,22,45,83,844,2509,20000000,,11642
219,2017-2018,26,34,53,58,1221,2898,9000000,8000000,9855
219,2018-2019,35,34,37,79,1209,2964,8000000,,10220
256,2017-2018,24,14,26,5,536,1307,5000000,5000000,14780
256,2017-2018,44,29,63,39,1335,3057,5000000,3000000,14780
256,2018-2019,22,13,19,14,774,1609,3000000,3000000,15145
256,2018-2019,12,9,19,18,433,1459,3000000,,15145
258,2017-2018,17,8,19,5,309,784,1500000,,9774
273,2017-2018,22,19,21,25,852,1528,1200000,,11353
287,2019-2020,2,2,2,3,95,195,550000,,10872
298,2017-2018,35,7,18,15,455,966,1000000,1000000,11303
298,2018-2019,40,27,40,31,848,1948,1000000,800000,11668
298,2019-2020,34,12,21,25,502,1384,800000,800000,12033
298,2019-2020,5,1,1,0,18,90,800000,600000,12033
298,2020-2021,5,2,3,2,109,248,600000,700000,12398
298,2021-2022,6,7,4,0,155,462,700000,,12764
302,2017-2018,52,27,35,17,956,1659,8000000,3000000,11468
302,2018-2019,36,18,44,18,1254,2030,3000000,,11833
304,2017-2018,26,26,36,13,681,2021,2000000,1500000,9422
304,2018-2019,10,22,15,13,462,1258,1500000,,9787
316,2017-2018,37,26,30,9,1569,2260,60000000,25000000,10461
316,2018-2019,19,19,17,7,1267,1853,25000000,16000000,10826
316,2019-2020,11,19,18,10,872,1296,16000000,7500000,11191
316,2020-2021,21,13,10,5,699,1050,7500000,3000000,11556
316,2021-2022,4,7,1,3,385,525,3000000,,11922
319,2017-2018,21,15,19,21,706,1658,6000000,6000000,10124
319,2018-2019,32,29,27,37,1029,2421,6000000,3200000,10489
319,2019-2020,3,6,8,7,162,541,3200000,2000000,10854
319,2020-2021,17,12,12,12,571,1520,2000000,1800000,11219
