player_id,season_label,goals_against,saves,clean_sheets,penalties_saved,minutes_played,market_value,market_value_next_season,age_in_days
6,2017-2018,53,79,9,1,2700,5000000,1500000,10826
6,2018-2019,0,0,0,0,90,1500000,800000,11191
6,2019-2020,0,0,0,0,25,800000,,11556
28,2017-2018,0,0,0,0,1476,2000000,2000000,11109
28,2018-2019,0,0,0,0,1170,2000000,2000000,11474
28,2018-2019,0,0,0,0,1069,2000000,1200000,11474
28,2019-2020,0,0,0,0,1147,1200000,1200000,11839
28,2019-2020,0,0,0,0,180,1200000,700000,11839
28,2020-2021,0,0,0,0,1568,700000,,12204
37,2017-2018,0,0,0,0,764,2000000,1500000,11962
37,2018-2019,0,0,0,0,990,1500000,1200000,12327
37,2019-2020,0,0,0,0,1170,1200000,,12692
54,2017-2018,30,62,6,2,2070,8000000,12000000,10049
54,2018-2019,45,124,9,1,2880,12000000,9500000,10414
54,2019-2020,41,107,11,1,3060,9500000,9000000,10779
54,2020-2021,41,83,10,1,3240,9000000,4000000,11144
54,2021-2022,9,19,0,0,540,4000000,,11510
78,2020-2021,25,48,7,1,1800,1000000,1000000,13412
78,2021-2022,19,39,5,0,1456,1000000,,13778
135,2017-2018,0,0,0,0,3150,600000,800000,11909
135,2018-2019,0,0,0,0,3055,800000,650000,12274
135,2019-2020,0,0,0,0,2429,650000,,12639
185,2017-2018,15,37,3,0,990,1000000,,10521
226,2017-2018,26,85,12,1,2970,5000000,,10949
244,2017-2018,13,25,2,0,765,200000,200000,13085
244,2018-2019,10,29,1,0,559,200000,,13450
296,2017-2018,11,30,3,1,853,500000,1000000,12843
296,2018-2019,50,114,10,2,3420,1000000,800000,13208
296,2019-2020,58,101,4,1,3232,800000,500000,13573
296,2021-2022,49,106,10,0,3177,500000,,14304
429,2019-2020,60,117,5,1,3240,300000,200000,12328
429,2021-2022,26,47,8,1,1890,200000,,13059
453,2017-2018,0,0,0,0,2478,500000,550000,10210
453,2019-2020,0,0,0,0,1583,550000,500000,10940
453,2020-2021,0,0,0,0,187,500000,8000000,11305
453,2021-2022,0,0,0,0,150,8000000,,11671
502,2017-2018,0,0,0,0,1080,400000,1000000,13530
502,2018-2019,0,0,0,0,1763,1000000,725000,13895
502,2019-2020,0,0,0,0,1589,725000,800000,14260
502,2020-2021,0,0,0,0,726,800000,,14625
575,2017-2018,11,20,3,0,900,6000000,700000,11049
575,2021-2022,17,43,3,0,1260,700000,,12510
587,2018-2019,36,70,8,1,2430,55000000,48000000,9366
587,2019-2020,20,74,18,0,3060,48000000,60000000,9731
587,2020-2021,28,90,17,2,3420,60000000,60000000,10096
587,2021-2022,29,88,16,1,3240,60000000,,10462
600,2019-2020,3,3,0,0,90,1200000,,11324
602,2017-2018,0,0,0,0,225,800000,1500000,10973
602,2018-2019,0,0,0,0,540,1500000,800000,11338
602,2019-2020,0,0,0,0,360,800000,600000,11703
602,2020-2021,0,0,0,0,1440,600000,,12068
613,2017-2018,0,0,0,0,308,200000,,12209
670,2017-2018,31,82,7,2,2430,18000000,10000000,10975
670,2018-2019,8,23,4,0,900,10000000,,11340
700,2017-2018,1,3,0,0,90,400000,400000,12141
700,2018-2019,20,26,4,0,1260,400000,,12506
702,2017-2018,51,96,6,1,3060,2000000,800000,11283
702,2019-2020,0,0,0,0,790,800000,700000,12013
702,2020-2021,17,28,1,0,1170,700000,,12378
703,2018-2019,5,17,1,0,450,5000000,6000000,10060
703,2019-2020,48,80,5,0,2887,6000000,4000000,10425
703,2020-2021,25,37,6,1,1620,4000000,,10790
766,2017-2018,0,0,0,0,1941,3000000,3000000,7831
766,2018-2019,0,0,0,0,2250,3000000,8000000,8196
766,2019-2020,0,0,0,0,2960,8000000,5000000,8561
766,2020-2021,0,0,0,0,1637,5000000,,8926
927,2020-2021,0,0,0,0,291,300000,,11669
974,2017-2018,6,22,4,1,720,3000000,4000000,10569
974,2018-2019,32,56,10,0,2790,4000000,2800000,10934
974,2019-2020,9,9,0,0,425,2800000,,11299
994,2017-2018,8,10,1,0,412,250000,,8016
1069,2017-2018,0,5,1,0,90,1500000,1500000,10353
1069,2018-2019,6,6,0,0,270,1500000,1200000,10718
1069,2019-2020,5,9,1,1,270,1200000,900000,11083
1069,2020-2021,3,2,0,0,300,900000,,11448
1086,2017-2018,14,35,5,0,1125,800000,,11846
1110,2018-2019,35,62,3,1,1890,3000000,3000000,8773
1110,2021-2022,37,86,9,2,2772,3000000,,9869
1158,2017-2018,31,95,9,1,2567,5000000,20000000,8055
1158,2018-2019,47,91,10,1,2970,20000000,,8420
1172,2018-2019,45,102,9,3,3150,6000000,4800000,10590
1172,2019-2020,39,88,11,1,3150,4800000,2000000,10955
1172,2020-2021,40,74,2,0,2250,2000000,,11320
1186,2017-2018,22,0,0,0,3330,70000000,100000000,8760
1186,2018-2019,27,0,0,0,3330,100000000,80000000,9125
1186,2019-2020,27,0,0,0,3395,80000000,70000000,9490
1186,2020-2021,25,0,0,0,3420,70000000,45000000,9855
1186,2021-2022,0,0,0,0,3420,45000000,,10221
1188,2017-2018,39,84,7,0,2340,1500000,2500000,9971
1188,2018-2019,40,99,5,1,1890,2500000,1600000,10336
1188,2019-2020,0,4,2,0,180,1600000,300000,10701
1188,2021-2022,1,7,1,0,135,300000,,11432
1206,2017-2018,39,51,9,1,2156,12000000,4000000,8523
1206,2021-2022,29,28,1,1,1260,4000000,,9984
1211,2017-2018,45,61,6,1,2340,10000000,10000000,8992
1211,2018-2019,35,77,7,1,2430,10000000,4000000,9357
1211,2020-2021,4,4,0,0,180,4000000,6000000,10087
1211,2021-2022,28,70,14,1,2880,6000000,,10453
1225,2017-2018,4,1,0,0,98,600000,,10955
1245,2019-2020,5,10,1,0,360,13000000,,9439
1284,2017-2018,0,0,0,0,450,2500000,2500000,9554
1284,2018-2019,0,0,0,0,360,2500000,6000000,9919
1284,2019-2020,0,0,0,0,1324,6000000,4000000,10284
1284,2020-2021,0,0,0,0,2520,4000000,2000000,10649
1284,2021-2022,0,0,0,0,343,2000000,,11015
1295,2018-2019,35,51,4,3,1530,500000,,12014
1324,2017-2018,27,37,1,0,990,800000,,9471
1369,2021-2022,5,11,1,0,270,5000000,,10495
1381,2017-2018,28,100,19,0,3330,60000000,90000000,9012
1381,2018-2019,0,0,0,0,3150,90000000,72000000,9377
1381,2019-2020,36,78,14,1,3240,72000000,60000000,9742
1381,2020-2021,32,75,11,0,2790,60000000,30000000,10107
1381,2021-2022,34,78,11,1,3150,30000000,,10473
1399,2017-2018,0,0,0,0,90,800000,,9931
1402,2017-2018,43,95,7,2,2700,20000000,,8126
1420,2017-2018,0,0,0,0,180,300000,,11669
1421,2017-2018,1,6,0,0,90,9000000,18000000,10116
1421,2018-2019,4,10,1,0,270,18000000,14500000,10481
1421,2019-2020,30,78,5,2,2096,14500000,5000000,10846
1421,2020-2021,11,33,3,1,900,5000000,3000000,11211
1421,2021-2022,29,47,3,1,1457,3000000,,11577
1437,2020-2021,0,0,0,0,1980,100000,,7933
1497,2017-2018,0,0,0,0,3358,9000000,15000000,8994
1497,2018-2019,0,0,0,0,3150,15000000,14500000,9359
1497,2019-2020,0,0,0,0,2358,14500000,8000000,9724
1497,2020-2021,0,0,0,0,3349,8000000,5000000,10089
1497,2021-2022,0,0,0,0,3053,5000000,,10455
1528,2017-2018,19,41,5,0,1264,4000000,15000000,8673
1528,2018-2019,34,100,13,2,3330,15000000,14500000,9038
1528,2019-2020,37,70,15,1,3420,14500000,9000000,9403
1528,2020-2021,31,52,10,1,2520,9000000,8000000,9768
1528,2021-2022,41,89,14,1,3414,8000000,,10134
1544,2019-2020,5,6,1,0,280,300000,2500000,7846
1544,2020-2021,30,47,5,1,1781,2500000,,8211
1570,2017-2018,46,94,9,0,2655,3000000,5000000,9403
1570,2018-2019,43,126,8,0,2861,5000000,4000000,9768
