player_id,season_label,pass_completed,tackles_won,interceptions,assists,goals,minutes_played,market_value,market_value_next_season,age_in_days
62,2017-2018,1896,53,12,3,3,2399,12000000,15000000,10413
62,2018-2019,1823,50,28,5,3,2667,15000000,7000000,10778
62,2019-2020,1959,28,15,7,3,2475,7000000,,11143
68,2017-2018,278,22,23,1,4,1463,1500000,800000,11199
68,2018-2019,13,2,1,0,0,53,800000,0,11564
68,2019-2020,9,0,0,0,0,72,0,,11929
80,2017-2018,2031,48,51,4,1,2593,80000000,50000000,10396
80,2018-2019,2152,60,54,1,0,2715,50000000,28000000,10761
80,2019-2020,2317,44,44,2,2,2483,28000000,9000000,11126
80,2020-2021,2453,35,53,5,0,2517,9000000,9000000,11491
80,2021-2022,2430,49,45,0,2,3198,9000000,,11857
84,2017-2018,414,14,39,2,2,1800,1700000,1200000,9802
84,2020-2021,523,12,35,0,3,2272,1200000,900000,10897
84,2021-2022,216,4,12,0,0,947,900000,,11263
90,2017-2018,1050,24,11,5,4,1928,5000000,25000000,9451
90,2018-2019,1581,30,9,2,7,2655,25000000,20000000,9816
90,2019-2020,1888,16,13,6,6,3163,20000000,20000000,10181
90,2020-2021,1497,9,13,6,8,2498,20000000,20000000,10546
90,2021-2022,1551,14,10,8,5,2791,20000000,,10912
110,2018-2019,1415,34,28,10,4,2647,4000000,3200000,12072
110,2019-2020,1407,25,19,9,11,2450,3200000,,12437
151,2017-2018,340,20,13,0,0,940,1000000,1000000,11246
151,2017-2018,63,3,6,0,0,264,1000000,1500000,11246
151,2018-2019,829,40,37,1,1,2352,1500000,1200000,11611
151,2019-2020,564,26,34,0,1,2253,1200000,800000,11976
151,2020-2021,605,29,39,1,1,2324,800000,,12341
170,2018-2019,118,5,6,0,0,285,400000,,11247
182,2020-2021,692,9,22,1,4,1946,6000000,6000000,9939
182,2021-2022,807,31,30,2,3,2051,6000000,,10305
183,2018-2019,300,12,14,0,0,841,100000,,13501
187,2019-2020,1382,33,67,3,2,2659,8000000,4000000,14458
187,2020-2021,1423,28,41,4,3,2546,4000000,,14823
196,2017-2018,1484,49,44,1,0,2349,3000000,,12229
218,2017-2018,851,25,38,0,3,2340,3000000,,10448
224,2017-2018,598,22,19,2,1,1230,1500000,3000000,10776
224,2018-2019,988,32,26,1,3,2013,3000000,2400000,11141
224,2019-2020,161,4,2,0,1,473,2400000,,11506
227,2017-2018,1311,27,22,8,2,2264,5000000,5000000,11053
227,2018-2019,1453,15,28,4,0,2335,5000000,3200000,11418
227,2019-2020,887,14,18,3,0,2046,3200000,1500000,11783
227,2020-2021,654,12,18,0,1,1318,1500000,1500000,12148
227,2021-2022,798,13,21,1,0,1393,1500000,,12514
234,2017-2018,1033,33,40,2,3,1819,5000000,,11588
238,2018-2019,637,18,22,1,3,1665,9000000,6000000,10943
238,2019-2020,1232,42,40,2,1,2648,6000000,3000000,11308
238,2020-2021,539,8,14,0,0,928,3000000,2000000,11673
238,2021-2022,545,10,11,1,0,1034,2000000,,12039
241,2017-2018,2229,57,75,5,7,3163,20000000,25000000,9796
241,2018-2019,1060,24,31,1,1,1821,25000000,14500000,10161
241,2019-2020,165,2,5,0,0,216,14500000,6000000,10526
241,2020-2021,253,2,5,0,0,337,6000000,3000000,10891
241,2021-2022,252,5,4,0,0,374,3000000,,11257
242,2017-2018,1352,22,10,2,1,1824,10000000,,11923
246,2017-2018,1387,12,15,7,7,1774,75000000,60000000,9021
246,2018-2019,834,14,6,2,3,1192,60000000,40000000,9386
246,2019-2020,727,9,7,2,1,1181,40000000,18000000,9751
246,2020-2021,632,9,2,2,0,908,18000000,7500000,10116
246,2021-2022,238,5,2,0,1,331,7500000,,10482
247,2017-2018,1013,31,35,0,0,1904,5000000,2500000,10161
247,2018-2019,71,2,6,0,0,98,2500000,2000000,10526
247,2019-2020,54,0,1,0,0,242,2000000,,10891
269,2017-2018,1729,45,24,4,4,2756,70000000,70000000,9125
269,2018-2019,1715,46,31,5,3,2586,70000000,48000000,9490
269,2019-2020,1430,42,29,5,4,2698,48000000,60000000,9855
269,2020-2021,2178,42,36,2,1,3021,60000000,25000000,10220
269,2021-2022,1505,30,24,2,1,2508,25000000,,10586
276,2017-2018,22,1,0,0,0,62,800000,800000,11919
276,2017-2018,408,19,15,0,0,1056,800000,,11919
295,2017-2018,1565,49,67,1,1,3330,8000000,9000000,12532
295,2018-2019,1070,18,28,0,0,1819,9000000,6000000,12897
295,2019-2020,1113,20,35,2,4,2455,6000000,1800000,13262
295,2021-2022,354,13,10,0,0,743,1800000,,13993
312,2017-2018,512,14,16,3,0,1501,2500000,,11144
325,2019-2020,5,0,0,0,0,10,200000,1200000,11078
325,2020-2021,104,4,5,1,1,460,1200000,2500000,11443
325,2021-2022,291,14,9,1,1,879,2500000,,11809
326,2017-2018,402,13,8,0,0,541,5000000,,11895
336,2019-2020,584,15,25,1,0,1161,1200000,900000,10530
336,2021-2022,119,3,6,0,0,266,900000,,11261
338,2018-2019,1395,38,43,2,1,2553,2000000,1600000,15404
338,2019-2020,1098,28,33,2,1,2178,1600000,1200000,15769
338,2020-2021,551,11,9,0,2,946,1200000,,16134
339,2017-2018,963,24,39,1,0,2130,1800000,,15039
350,2017-2018,574,31,23,2,0,1396,2000000,700000,10482
350,2020-2021,1033,18,31,0,0,2050,700000,,11577
352,2017-2018,372,8,4,2,4,780,10000000,15000000,8779
352,2018-2019,1042,20,12,3,7,2383,15000000,14000000,9144
352,2019-2020,897,19,12,2,5,2382,14000000,12000000,9509
352,2020-2021,850,7,11,3,5,1943,12000000,16000000,9874
352,2021-2022,1235,10,17,10,4,2785,16000000,,10240
394,2017-2018,2090,57,34,7,7,3001,20000000,30000000,10122
394,2018-2019,1973,42,46,7,9,3061,30000000,28000000,10487
394,2019-2020,1990,41,22,3,8,3024,28000000,10000000,10852
394,2020-2021,2454,40,45,5,3,3112,10000000,9000000,11217
394,2021-2022,1799,29,29,10,2,2704,9000000,,11583
401,2019-2020,424,11,12,1,2,1082,475000,600000,11306
401,2020-2021,460,10,15,0,0,1347,600000,600000,11671
401,2021-2022,96,2,0,0,1,338,600000,,12037
403,2017-2018,1140,61,77,0,0,2516,7500000,7500000,10112
403,2018-2019,1081,42,40,0,0,2474,7500000,6000000,10477
403,2019-2020,876,27,38,1,1,2194,6000000,,10842
406,2017-2018,795,49,43,0,1,2387,1800000,2500000,10672
